index	STRING	DESC
1221061	限制基本最大攻擊力:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221064	限制最小攻擊力:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221065	限制基本最小攻擊力:%s	??, ??? ??. ??? ?? ?? ?? ?.
1221365	限制等級:%s	??, ??? ??. ??? ?? ?? ?? ?.(?? ??)
1221382	製作等級:%s	?? ?? ??
1222001	需要物品:%s%d個	??, ??? ??. ??? ?? ?? ?? ?.
1223001	需要技能:%s	??, ??? ??. ??? ?? ?? ?? ?.
1223002	需要技能:%s%dLv	??, ??? ??. ??? ?? ?? ?? ?.
1224001	需要任務完成數量:%s%d次	??, ??? ??. ??? ?? ?? ?? ?.
1224002	0	??, ??? ??. ??? ?? ?? ?? ?. (??? ???)
1225001	需要稱號:%s	??, ??? ??. ??? ?? ?? ?? ?.
1230001	技能等級%d /%d	?? ??. ?? ?? ?? ?? 0? ??
1230002	技能等級%d[%+d] /%d	?? ??. ?? ?? ?? ?? 0? ?? ??
1300001	剩餘時間	?? ?? ???? ???
1300002	%d日	?? ??. ?? ??
1300003	%d小時	?? ??. ?? ??
1300004	%d分	?? ??. ?? ?
1300005	不到1分	?? ??. ?? ?. ???. 1? ????~~
1400001	稱號	
1400002	稱號效果	
1500001	位置:%d,%d	?? ? ?? ???? ? ?? ??
1600001	有時間限制的物品不能放入快捷欄。	?? ??? ?? ???? ? ?? ?? ????? ?? ?? ?????
1600011	使用時間結束。	?? ??? ?? ???? ???? ??
1700001	[套裝屬性]	?? ???? ??? ?? ??
1700002	Set%d.%s	?? ??? ?? ?? ??
1800001	需要Ely:%d	?? ??? ???? ?? ??. ?? ?? ?
1800002	需要物品:%s	?? ??? ???? ?? ??. ?? ??? ?
1900001	[%s]	??? ? ?? ??. ?? ??. ??? ??? ? ??? ?? ??
1900002	[%s -%s]	??? ? ?? ??. ?? ??. ??? ??? ? ?? ??
2000001	貝羅斯	?? ??? ?? ??. 2000000 + Way Group ID
2000002	艾利亞斯	?? ??? ?? ??. 2000000 + Way Group ID
2000003	龍京	?? ??? ?? ??. 2000000 + Way Group ID
2000004	奧亦奇	?? ??? ?? ??. 2000000 + Way Group ID
2000005	阿法	?? ??? ?? ??. 2000000 + Way Group ID
2000006	貝斯	?? ??? ?? ??. 2000000 + Way Group ID
2000007	亞特蘭提斯	?? ??? ?? ??. 2000000 + Way Group ID
2000008	米德卡勒特	?? ??? ?? ??. 2000000 + Way Group ID
2000009	亞斯卡勒特	?? ??? ?? ??. 2000000 + Way Group ID
2100000	沒有儲存的石塔。	?? ??? ??.
2200000	 [沒有儲存]	?? ??? ???? ?? ?
3000000	↑ 上鍵	? ???. ? ???? ???? ??? ?? ???. ???. ???? ???!
3000001	1. 確認	NPC ??? ?. ? ?? ???
3000002	2. 取消	NPC ??? ?, ??? ?? ???
3001000	對話	NPC ??? ?. ??
3002000	交易	NPC ??? ?. ??
3003000	倉庫	NPC ??? ?. ??
3004000	任務	NPC ??? ?. ???
3005000	入口	NPC ??? ?. ??
3006000	活動	NPC ??? ?. ???
3006001	請選擇商品後，按[接收]按鈕。	NPC_EVENT? ??? ????, ??? ???? ?? [??]??? ????
3006002	按[接收]按鈕後，商品會隨機選擇。	NPC_EVENT? ??? ???? ??
3006003	選擇商品後，請按[接收]按鈕。	NPC_EVENT? ??? ???? ??
3006004	按[接收]按鈕後，可以收到所有商品。	NPC_EVENT? ??? ???? ??
3007001	接收任務失敗。	????? ?? ??? ?? ??
3007002	接收物品任務失敗。	????? ?? ??? ?? ??
3007003	接收效果任務失敗。	????? ?? ?? ?? ??
3007004	[%s]獲得了物品。	????? ?? ??? ???? ??? ??
4000001	找不到對方。	???, ????, ? ??? ???? ?? ??? ?? ??? ?? ?? ?? ??? ?? ? ?? ? ??
4000002	現在無法連接。	?? ??? ??? ?? ??? ??.
4000003	對方現在沒有回應。	?? ?? ??. ?? ??? ?? ???? ???
4000004	坐著的狀態時，不能移動分流。	?? ?? ? ??? ??? ?? ?? ?? ???
4000005	全體聊天有2秒的等待時間。	?? ??? 2??? ???? ??.
4000006	現在不能移動分流。請稍後再試。	?? ??? ??
4000010	與伺服器的連接結束。	??? ??? ????? ?? ???
4000020	收費物品交易發生錯誤。請向GM諮詢。	?? ??? ?? ? ?? ?? ???
4001000	[%s]申請了交易。	?? ?? ??. ?? ??? ?? ???? ???
4001001	[%s]同意了交易。	?? ?? ??. ?? ?? ??? ??? ?? ??? ?? ??? ???
4001002	[%s]取消了交易。	?? ?? ??. ?? ?? ??? ??? ???? ??? ?? ??? ???
4001010	向[%s]申請了交易。	?? ?? ??. ?? pc?? ??? ???? ?? ??? ???
4001011	[%s]同意了交易。	?? ?? ??. ?? pc? ??? ???? ?? ??? ???
4001012	[%s]取消了交易。	?? ?? ??. ?? pc? ??? ?? ?? ?? ??? ???
4001020	與[%s]的交易結束。	????? ??? ????? ?? ??? ???
4001030	不能與對方交易。	?? ??. ?? ?? ?? ??, ?? ?? ??, ?? ?? ??? ?? ??? ???
4001040	[%s]不能再儲存物品，交易取消了。	????? ??? ?? ??? ??? ?? ?? ??? ??
4001041	[%s]的物品資訊錯誤，交易取消。	?? ?? ? ??? ???? ??? ?? ? ??? ??
4001042	%s? 交易物品	?? ????? ??? ??? ?? ??? ??? ??
4002000	%s申請了組隊。\n是否接受？	? ??? ?. ? ?? ???
4002001	[%s]已經加入了其他組隊。	? ???. ???  PC? ?? ?? ???? ?? ??.
4002002	[%s]已加入了組隊。	? ???. ?? ??? PC? ????? ?? ?? ???.
4002003	已加入[%s]的組隊。	? ???. ??? PC? ?? ???? ?? ?? ???.
4002004	不能加入[%s]的組隊。	? ???. ??? PC? ?? ??? ? ?? ?? ?? ???.
4002005	[%s]退出了組隊。	? ???. ??? ?? ????? ?? ?? ???.
4002006	已退出組隊。	? ???. ? ?? ? ?? ???? ???
4002007	[%s]變為隊長了。	? ???. ?? ?? ? ?? ???.
4002008	物品獲得方式變為按順序獲得。	? ???. ??? ?? ?? ?? ?? ???
4002009	物品獲得方式變為自由獲得。	? ???. ??? ?? ?? ?? ?? ???
4002010	物品獲得方式變為隨機獲得。	? ???. ??? ?? ?? ?? ?? ???
4002101	按順序獲得	? ?. ?? ??? ??? ???
4002102	自由獲得	? ?. ?? ??? ??? ???
4002103	隨機獲得	? ?. ?? ??? ??? ???
4002201	在%d分流。	? ?. ?? ??? ??? ?? ?? ?? ??? ??
4002202	在副本中。	? ?. ???? ??? ??? ?? ?? ?? ??? ??
4003000	[%s]要破壞物品嗎？	??? ?? ??? ?? ???? ???
4003001	[%s]已破壞物品。	??? ?? ??? ??? [?]? ???? ??
4003002	[%s]物品的破壞已取消。	??? ?? ??? ??? [???]? ???? ??
4003003	不能破壞[%s]物品。	??? ??? ??? ? ??. ?? ???.
4003004	分[%s]物品	??????  ??? ???
4003005	販賣給NPC的點數是0的物品。真的要破壞[%s]物品嗎？	??? ???? 0? ?? ???? ??? ?? ??? ?? ???? ???
4003006	不能破壞的物品。用在物品店裡販賣給NPC的點數可以破壞。	??? ???? 0??? ??? ?? ? ???? ???? ???
4003007	[%s]物品是物品店物品。真的要破壞嗎？	???? ???? ?? ???? ??? ??? ???? ???
4003008	物品店物品不能出售給商店。破壞，或者在物品店中販賣給NPC。	???? ???? ???? ?? ???? ??? ?? ?
4003009	背包物品不能販賣給商店。可以破壞，使其消失。	???? ???? ?? ???? ??(?) ???? ??? ?? ?
4003101	Ely不足，不能購買物品。	??? Ely ???? ????? ??? ?? ??? ???? ???
4003102	背包空間不足，不能購買物品。	???? ?? ???? ????? ??? ?? ??? ???? ???
4004001	要向村莊移動嗎？選擇“否”後，在儲存的石塔中復活。	??? ?? ??? ?? ???? ???
4004002	要向村莊移動嗎？選擇“否”後，將移動至石塔，選擇“立即復活”，可以在原地復活。	DEATH_POINT ??? ??? ?? ???
4004011	要消耗護身符，防止經驗值減少嗎？	?? ??? ???? ?? ?? ?? ?? ???
4005001	幸運+%d	LUK ?? ??
4005002	力量+%d	ATK ?? ??
4005003	體力+%d	DEF ?? ??
4005004	魔力+%d	ELE ?? ??
4005005	屬性上升了。	
4006001	輸入持續時間超長，請重新輸入。	? ??? 60? ?? ????? ?? ??? ???
4007001	限制時間結束，[%s]物品變為使用限制狀態。	????? ?? ?? ???? ?? ??? ????? ?? ??? ???.
4007002	限制時間結束，[%s]物品失去效力。	???? ?? ??? ???? ?? ??? ????? ?? ??? ???.
4008001	戰鬥中不可以使用。	?? ???? ??, ?? ??? ??? ??
4100001	超過可以入場的人數了。	
5001000	沒有可以對話的好友。	?? ??? ??? ??? ?? ??
5001001	分流%d	?????? ?? ??
5002000	找不到可以對話的隊員。	?? ??? ????? ??
5003000	不能給自己發密語。	???? ???? ??? ??
5006000	找不到該角色名字。	???? ?? ?????? ????? ???? ?????? ?? ??? ???? ?? ??
5006001	該角色名已在好友目錄中。	?? ??? ???? ????? ???? ??
5006002	不能再增加了。請整理目錄後，重新加。	??/?? ??? ??? ???? ??? ???? ?????? ? ??
5006003	已經是阻止目錄中增加過的角色名。	?? ??? ???? ????? ???? ??
5006004	該動作被阻止。	???? ?? ??? ???? ?? ??(????)
5006005	不能將自己加在好友目錄中。	??? ????? ????? ??
5006006	不能將自己加在阻止目錄中。	??? ????? ????? ??
5006007	副本	??? ??? ?? ? ??
5007000	無效命令。輸入/?後，可以查看?明內容。	 ???? ?? ????? ???? ??
5007001	/全體(/s)全體聊天。\n/隊(/p)組隊聊天。\n/友(/b)好友聊天。\n/耳 ID(/w ID)  與該角色耳語。\n/邀請組隊 ID(/partyadd ID)邀請該角色組隊。\n/退出組隊(/partyleave)從該組隊中退出。\n/交換 ID(/trade ID)向該角色邀請交換。	/? ? ?? ??
5007002	U! Ha!這裡是當日快遞的吉恩蒂亞郵局。	???? ???? ??
5007003	不存在的角色名。	?? ??? ???? ???? ?? ??
5007004	%s的郵箱已滿。	?? ??? ???? ?? ??
5007005	沒有要郵寄的郵件內容。	???, ?, ?? ?? ??? ??
5007006	請將該角色的ID也一同輸入。	????? ?? ??? ???? ???? ??? ??
5007007	請輸入郵件的稱號。	???? ??? ???? ?? ??
5007008	沒有郵件。確認後，請重新刪除。	???? ?? ??? ?? ??? ? ??
5007009	該物品背包已滿，不能接收物品。	?? ?? ?? ? ?? ??? ????? ?? ??
5007010	請輸入接收人的角色名字。	?? ?? ???? ???? ??? ??
5007011	擁有的遊戲幣不足。	???? ??? ??? ?>?? ? ??
5007012	不能給自己發送郵件。	?? ???? ???? ???? ? ??
5007013	信件中包含了不健康的用詞，不能發送信件。	?? ??, ??? ???? ??? ???? ?? ??
5007014	標識中包含了不健康的用詞，不能發送資訊。	??? ???? ???? ??? ???? ?? ??
5007015	為了發送郵件，需要[%s]物品。	??? ??? ??? ??
5007016	向[%s]發送了郵件。	?? ??? ???? ?
5007100	有新郵件。請在村莊確認郵件。	? ??? ??? ?? ?? ?? ??? ???.
5007101	郵箱已滿。確認郵箱後，請刪除一些郵件。	? ??? ????, ?? ??? 40?? ?? ?? ??? ???.
5007201	硬碟容量已滿，不能儲存聊天巨大的資訊。	?? ??? ??? ? ?? ??? ???? ??? ? ?? ?
5007202	資訊檔發生錯誤，重置信息。請重新輸入。	??? ??? ??? ?? ??? ? ?? ?
5007203	沒有[儲存]就關掉視窗的話，修改的資訊不會儲存。	????? ??? ?? ?? ??? ?? ?? ?
5007204	需要[%s]物品。	?? ??? ?? ???
5007205	請選擇圖示後，輸入內容，然後放入快捷欄中使用。	?? ??? ? ???
5008001	熱點TOP10	RSClient ?? ??
5008100	副本中不能開設房間和邀請。	[???] ???? ?? ??
5008101	房間稱號必需輸入2個字以上。	[???] ?? ??? 4byte ??? ?
5008102	廣告內容必需輸入2個字以上。	[???] ??? ??? 4byte ??? ?
5008103	為了廣告，需要物品店的[廣告入場券]。	[???] [?? ??] cash Item? ?? ??
5008104	不能再開設房間了。	[???] ? ?? ?? ?? ??? ?? ? ?? ??? ?? ??
5008105	對方允許的人員已滿。	[???] ??? ?? ??? ?? ?? ??
5008106	該聊天房間不存在。請用刷新更新房間資訊。	[???] ?? ? ?? ?? ???? ?? ??
5008107	[%s]已加入聊天房間。	[???] ??? ??? ????? ??? ??? ??
5008108	[%s]拒絕了聊天房間的邀請。	[???] ?? ??? ????? ??
5008109	[%s]的狀態不是可以接受對話的狀態。請稍後再試。	[???] ?? ?? ? ?? ???? ?? ??? ??
5008110	不存在的聊天對象。請刷新後更新聊天物件資訊。	[???] ?? ?? ? ?? ???? ???? ?? ??
5008111	[%s]拒絕聊天申請狀態。	[???] ?? ?? ??? ??? ?????? ?? ?? ?? ?
5008112	[%s]加入了。	[???] ??? ?? ???
5008113	[%s]退出了。	[???] ??? ?? ???
5008114	[%s]是房主。	[???] ?? ??? ?? ???
5008115	要設置聊天房間參與。在聊天房間設置視窗中，請將聊天房間功能屬性設為使用。	[???] ??? ? ?? ?? ? ??? ?? ?? ??? ??? ??
5008116	已經過時的邀請資訊。	[???] ??? ?? ??? ??
5008117	/%d	[???] ?? ?? ? ??
5008118	相同房間強制退出兩次以上，不能再進入。	[???] ????? 2? ?? ?? ?? ?? ?? ??? ? ??
5008119	男	[???] ??? ?? ??
5008120	女	[???] ??? ?? ??
5008121	?	[???] ?? ??? ??
5008122	正在開設房間。	[???] ??? ?? ? 
5008123	正在邀請資訊。	[???] ?????? ?? ??
5008124	正在參與聊天房間。	[???] ??? ??
5008125	正在搜索聊天物件。	[???] ???? ??
5008126	正在儲存類型。	[???] ??? ??
5008127	正在搜索聊天房間。	[???] ??? ??
5008128	正在儲存聊天房間設置。	[???] ?? ??
5008129	[一般]	[???] ?? ???? ?? ???
5008130	[擺攤]	[???] ?? ???? ?? ???
5008131	[招人]	[???] ?? ???? ?? ???
5008132	[開會]	[???] ?? ???? ?? ???
5008133	%d/%d	[???] ???? ??? ???
5008134	相同聊天不能進行3次以上。	[???] ?? ??? 3? ?? ? ??
5008135	%d/%d	[???] ??? ?? ? ??
5008136	沒有滿足搜索的物件。請用其他條件搜索。	[???] ?? ?? ??
5008137	聊天房間密碼	[???] ???? ???
5008138	[%s]邀請了聊天。\n是否接受？	[???] ?? ?? ??? ???
5008139	要退出現在的聊天房間嗎？\n要移動到該房間嗎？	[???] ?? ??? ???? ?? ?? ???
5008140	興趣	[???] ??? ???
5008141	性格	[???] ??? ???
5008142	心情	[???] ??? ???
5008143	狀態	[???] ??? ???
5008144	現在正在參與的聊天房間。	[???] ?? ?? ?? ?? ?? ?? ? ??
5008145	已經儲存。	[???] ??? ??? ?? ???
5008146	要退出現在的聊天房間嗎？	[???] ?? ? ?? ???
5008147	如果想要廣告，請勾選廣告使用。	[???] ?? ???? ? ?? ?
5008148	已經加入該聊天房間的玩家。	[???] ?? ??? ?? ??? ?????? ??? ??? ??
5008149	要退出聊天房間嗎？	[???] ????? ?? ? ?? ???
5008150	聊天房間伺服器沒有回應。請稍後再試。	[???] ? ??? ??? ???? ??? ?? ?? ???? ??? ??? ??
5008151	[%s]被強制退出。	[???]?? ?? ? ???? ???? ???
5008152	已被強制退出。	[???] ?? ?? ?? ???
5008153	要加入現在的聊天房間嗎？	[???] ??? ?? ???
5013000	[%s]找不到。	?? ??? ??? ??? ?? ??
5013001	[%s]阻止了您。	??? ??? ???? ???? ??? ???? ??
5016000	[%s]從目錄中被刪除。	??/?? ???? ???? ??? ??
5016001	[%s]已登錄。	??? ?? ??? ??
5016002	[%s]退出。	??? ?? ???? ??
5016003	不能申請交易。	??? ??? ???? ???? ??? ??? ??
5016004	不能組隊邀請。	??? ??? ???? ???? ??? ??? ??
5016005	不能查看資訊。	??? ??? ???? ??? ????? ? ??
5016006	不能耳語。	??? ??? ???? ???? ???? ?? ??
5016007	不能邀請交易。	???? ??? ??? ???? ??? ??? ??
5016008	不能組隊邀請。	???? ??? ??? ???? ??? ??? ??
5016009	不能查看資訊。	???? ??? ??? ??? ????? ? ??
5016010	不能耳語。	???? ??? ??? ???? ???? ? ??
5016011	向[%s]邀請了加入好友。	?? ??? ????? ??
5016012	[%s]申請了加入好友。\n是否接受？	?? ??? ?? ????
5016013	[%s]加入為好友了。	?? ??? ??? ??
5016014	[%s]拒絕加入好友。	?? ??? ??? ??
5016015	[%s]從好友目錄中刪除。	?? ???? ???? ??
5016016	不能向[%s]申請加入好友。	??? ???? ?? ??? ???? ??
5016017	[%s]太忙，不能邀請好友。請稍後再試。	????? ?? ??? ??? ??
5016018	[%s]正在物品商店購物。請稍後再試。	???? ??? ?? ??? ??? ??
5016019	[%s]已登錄。	??? ???? ?
5016020	[%s]退出了遊戲。	??? ???? ?
5016021	與[%s]加入好友失敗。請稍後再試。	????? ?? ??? ??? ??
5016022	阻止了[%s]。	?? ??? ??? ??
5016023	[%s]被從阻止目錄中刪除。	?? ???? ???? ??
5016024	拒絕了[%s]的好友邀請。	?? ??? ???? ??
5016025	好友列表已滿，不能將[%s]加入列表中。請整理好友列表後，重新加入。	???? ? ?? ??? ???? ???? ?? ??
5017001	%s不想被加入好友。	???? ?? ??? ???? ??
5017002	%s不想共用狀態資訊。	???? ??? ??? ???? ??
5017003	%s不想交易。	???? ??? ???? ??
5017004	%s不想成為組隊隊員。	???? ???? ???? ??
5017005	%s不想進行耳語。	???? ???? ???? ??
5017006	[%s]獲得。	??? ???? ????? ?? ???.
5017007	%s獲得[%s]	??? ???? ????? ?? ???.
5017008	%s獲得經驗值	??? ???? ??? ??
5017009	[%s]物品使用	?? ???? ????? ?? ???.
5017010	%s Ely獲得	??? Ely? ????? ?? ???.
5018001	不能找到該玩家。	???? ???? ?? ? ?? ???? ??? ??? ? ?? ?.
6000001	目的	??? ?? ?
6000002	需要物品	??? ?? ??? ?
6000003	打退怪物	??? ?? ??? ?
6000004	行動	??? ?? ?
6000005	補償	??? ?? ?
6000006	條件	??? ?? ?
6000007	優先結束任務	??? ?? ??? ?
6000008	沒有限制	??? ???? ??? ?? ?? ??.
6000009	戰士	??? ???? ??? ??? ??
6000010	騎士	??? ???? ??? ??? ??
6000011	法師	??? ???? ??? ??? ??
6000012	遊俠	??? ???? ??? ??? ??
6000013	進行次數	??? ??? ?? ?? ??
6000014	完成次數	??? ??? ?? ?? ??
6000015	[職業]	??? ??? ?? ??? ?? ?? ??
6000016	[等級]	??? ??? ?? ??? ?? ?? ??
6000017	[名聲]	??? ??? ?? ??? ?? ?? ??
6000018	[優先完成任務]	??? ??? ?? ??? ?? ?? ??
6000019	戰士	??? ???? ??? ??? ??/??
6000020	騎士	??? ???? ??? ??? ??/??
6000021	法師	??? ???? ??? ??? ??/??
6000022	遊俠	??? ???? ??? ??? ??/??
6000023	督軍	??? ???? ??? ??? ??/??
6000024	劍鬥	??? ???? ??? ??? ??/??
6000025	聖殿	??? ???? ??? ??? ??/??
6000026	武術	??? ???? ??? ??? ??/??
6000027	魔導	??? ???? ??? ??? ??/??
6000028	吟遊	??? ???? ??? ??? ??/??
6000029	寶藏	??? ???? ??? ??? ??/??
6000030	神槍	??? ???? ??? ??? ??/??
6001001	背包已滿，無法獲得物品。	??? ???? ??? ?? ? ??? ??? ??? ??? ???
6001002	[%s]滿足了任務條件。	?? ???? ?? ??? ???? ?? ??? ???.
6001003	[%s]放棄了任務。	?? ???? ???? ??? ??? ???.
6001004	物品分開了，或是有時間到期的物品，所以不能結束任務。	?? ???? ???? ?? ????
6001005	[%s]接受了任務。	???? ???? ?? ??? ???
6001006	[%s]得到了任務獎勵。	???? NPC?? ???? ?? ??? ???.
6001007	[隱藏的任務。]	??? ?? ???? ??? ???
6002001	任務共用只有在組隊狀態時才可以。	??? ?? ???? ??? ?? ??? ???? ?? ?? ???
6002002	周圍沒有可以共用的隊員。	??? ???? ?? ???? ?? ??? ???? ?? ?? ???(Server ??)
6002003	共用的角色沒有在進行任務。	??? ???? ???? ?? ?? ?? ??
6002011	[%s]不能再接受任務了。	??? ?? ???? ?? ??? ?? 15? ??? ??
6002012	[%s]正在進行任務。	??? ?? ???? ?? ?? ???? ?? ?? ??? ??
6002013	[%s]的任務條件不足。	??? ?? ???? ???? ??? ???? ?? ??
6002014	[%s]正在進行其他事情。	??? ?? ???? ??, ?? ??? ?? ?? ??? ?? ?? ??? ?
6003001	現在正在進行任務。	??? ???. QuestID ?? ?? ?? ?? ???? ?? ??
6003002	進行中的任務太多了。為了進行這個任務，需要放棄其他任務。	??? ???. ?? ?? ?? ???? 15? ??? ??
6003003	不能進行任務。	??? ???. _QuestID ?? QUEST.LDT? ITEM_ID ?? ???? ?? ?? ??
6003004	還不能進行任務。	??? ???. ???? _Require ?? ??? ???? ?? ??.
6003005	不能用物品進行的任務。	??? ???. ???? _Quest_Type ? ? 3?? bit ?? 0? ??.
6200001	完成目錄	NPC ??? ?. ??? ?? ?. ??
6200002	可以進行的目錄	NPC ??? ?. ??? ?? ?. ??
6200003	共用邀請任務	??? & ?? ??? ? ??? ?? ??? ?? ??
6200004	物品任務	??? & ?? ??? ? ??? ??? ??? ?? ??
6300001	任務目錄	??? ?. ??? ? ??
6300002	[%s]任務目錄	NPC ??? ?. ??? ? ??
6400001	進行邀請的任務目錄	??? & ?? ??? ? ??
7000001	正在運行反作弊軟體。稍後重新啟動後，請重新運行。	?? ?? ??
7000002	遊戲重複運營或反作弊軟體已經運行。結束遊戲後，請重新運行。	?? ?? ??
7000003	反作弊軟體初始化錯誤。請重新啟動後再次運行，或將可能發生衝突的其他軟體關掉後，重新運行。	?? ?? ??
7000004	沒有反作弊軟體檔，或被篡改。請安裝反作弊軟體安裝檔。\n請將遊戲刪除後，重新安裝。	?? ?? ??
7000005	Window的部分系統檔被破壞。請重新安裝IE。	?? ?? ??
7000006	反作弊軟體運行失敗。請重新安裝反作弊軟體。	?? ?? ??
7000007	發現了非法軟體。請將不必要的軟體關閉後運行。	?? ?? ??
7000008	取消了反作弊軟體更新。如果總是連接不了時，請調整網路或個人防火牆屬性。	?? ?? ??
7000009	連接反作弊軟體更新伺服器失敗。請稍後再試，或如果有個人防火牆，請調整屬性。	?? ?? ??
7000010	沒有完成反作弊軟體更新。請將防毒軟體中暫時中止後再試，或使用PC管理軟體，調整屬性。	?? ?? ??
7000011	病毒及駭客檢查模式連接失敗。記憶體不足，或可能感染了病毒。	?? ?? ??
7000012	運行反作弊軟體時，發生了錯誤。請將遊戲資料夾中的GameGuard資料夾中的*.erl文件用郵件發送到game@inca.co.kr。	?? ?? ??
7000013	檢查到加速軟體。	?? ?? ??
7000014	發現遊戲作弊軟體。	?? ?? ??
7000015	遊戲或反作弊軟體被篡改。\n請將遊戲刪除後，重新設置。	?? ?? ??
8000001	ID Error!!!	???? ??? ?? ???
8000002	Password Error!!!	????? ???? ?? ???
8000003	DB Error!!!	??? ??? ???? SP? ???
8000004	Online User not found!!!	Mserver?? ???? ???? ???
8000005	Game Server not found!!!	??? ????? ??? Mserver?? ???? ???? ???
8000006	Game User not found!!!	????(???,??,??)? ??? ???
8000007	WorldID Error!!!	??? ????????.
8000008	Version Error!!!	??? ????.
8000009	Portal is overlapping	[GMTool-??] ??? ???? ??? ???? ??? ?????????, NPC???????? ???? ??.
8000010	NPC is overlapping	[GMTool-??] ??? ???? ??? ???? ??? ?????????, NPC???????? ???? ??. (?? ??? ???? ???? ???.)
8000011	WID error!! [0-10]	[GMTool-??] ?????? ??? ?????
8000012	SID error!! [0-1099]	[GMTool-??] ?????? ??? ?????
8000013	Time error!! [need delay 5 min]	[GMTool-??] ????? ????? ???? ??? ???? ???? 5?????
8000014	Value error!! [not 0]	[GMTool-??] ?????? ???
8000015	Exp error!! [0-500]	[GMTool-??] ??????? ??? ?????
8000016	Item error!! [0-500]	[GMTool-??] ????????? ??? ?????
8000017	Ely error!! [0-500]	[GMTool-??] ?????? ??? ?????
8000018	Rare error!! [0-500]	[GMTool-??] ?????????? ??? ?????
8000019	Portal error!! [ID]	[GMTool-??] ?????????? 0? ??? ????LDT? ???? ???
8000020	Portal error!! [Type]	[GMTool-??] ?????????? ????? ???
8000021	Portal error!! [not Dynamic]	[GMTool-??] ?????????? ??????? ???
8000022	NPC error!! [ID]	[GMTool-??] NPC???????? 0? ??? ????LDT? ???? ???
8000023	NPC error!! [Type]	[GMTool-??] NPC???????? NPC??? ???
8000024	NPC error!! [not Dynamic]	[GMTool-??] NPC???????? ??????? ???
8000025	event is null [Game Server]	[GMTool-??] ?? ??? ?? ????? ???? ???? ??
8000026	event is null [Tool Server - Active]	[GMTool-??] ?? ??? ?? ???? ???? ???? ??
8000027	event is null [Tool Server - Reserve]	[GMTool-??] ?? ??? ?? ???? ???? ???? ??
9000001	使用時發生了錯誤。請重新確認。	??? ???? ??
9000002	請將郵箱和背包的物品欄位空出來後，再重試。	???? ????? ??(?) ???? ?? ? ???? ????? ?? ??
9000003	無效數據。	??? ????? ???? ??? ?? ?? ??
9000004	現在不能使用。	??? ??? ????? ??
9000005	全體	??? ??? ??
9000006	男	??? ??? ??
9000007	女	??? ??? ??
9000008	按高的價格順序	??? ??? ??
9000009	按低的價格順序	??? ??? ??
9000024	期間性	??? ??? ??
9000025	永久性	??? ??? ??
9000010	伺服器沒有回應。請稍後再試。	??? ???? ?? ?
9001001	背包餘額不足。請充值後再試。	??(?) ??? ??? ??
9001002	超過了結算限額。	?? ??? ??? ??
9001003	背包空間已滿。請確認後再進行購買。	??(?) ????? ? ??? ????? ??(???)
9001004	販賣給NPC的話，可以獲得[%s]Pt。	??? ?? ?
9001005	購買物品成功。購買的物品可以在金幣背包中確認。	???? ?? ???
9001006	金幣背包已滿。請確認後，重新購買。	?? ????? ? ??? ????? ??(?????)
9001007	購買物品成功。購買的物品可以在金幣背包中確認。	?? ???
9001008	購買限制條件不對。	?? ?? ??? ?? ?? ?
9001009	餘額不足。要充值嗎？	????? ??? ??? ?
9001010	只可以用點數購買的物品。	????? ????? ??? ?
9001011	點數不足，不能購買。	???? ???? ??? ? ?? ?
9001012	結算餘額已更新。請重新確認。	?? ? ?? ?? ? ?? ??? ?? ??
9001013	購買物品成功。購買的物品可以在金幣背包中確認。	?? ? ?? ?? ?? ?
9001014	不能購買該物品。	??? ??? ???? ?? ?? ???? ?? ? ?? ? ? ???? ?? ???? ?? ?
9001015	交易時，請一定要重新確認交易物品。	???? ???? ?? ??
9001016	餘額資訊不對。請稍後再試。	?? ???? ?? ??? ?? ?
9001017	現在不能購買商品。	????? close? ?? ???? ???? ???? ??
9001018	擁有的商城紅利: [%s]PT	?? ? ??? ? ???
9001019	擁有的商城金幣: [%s]OZ	?? ? ??? ? ???
9001020	價格:%s Oz	??? ??? ?? ??
9001021	價格:%s Pt	??? ??? ?? ??
9001022	移動到充值過程中出錯，請向GM詢問。	?? ??? ?? ? ?? ??? ????? ????? ?? ?? ?? (???? ??.)
9001023	???? ?????. ???? ?? ???? ? ???? ?? ?????.	????? ? ??? ?? ??
9001024	1? / %d OZ(?)	?? ?? ?? ???? ??
9001025	3? / %d OZ(?)	?? ?? ?? ???? ??
9001026	7? / %d OZ(?)	?? ?? ?? ???? ??
9001027	15? / %d OZ(?)	?? ?? ?? ???? ??
9001028	30? / %d OZ(?)	?? ?? ?? ???? ??
9001029	90? / %d OZ(?)	?? ?? ?? ???? ??
9001030	180? / %d OZ(?)	?? ?? ?? ???? ??
9001031	360? / %d OZ(?)	?? ?? ?? ???? ??
9001032	??? / %d OZ(?)	?? ?? ?? ???? ??
9001033	1? / %d PT	?? ?? ?? ???? ??
9001034	3? / %d PT	?? ?? ?? ???? ??
9001035	7? / %d PT	?? ?? ?? ???? ??
9001036	15? / %d PT	?? ?? ?? ???? ??
9001037	30? / %d PT	?? ?? ?? ???? ??
9001038	90? / %d PT	?? ?? ?? ???? ??
9001039	180? / %d PT	?? ?? ?? ???? ??
9001040	360? / %d PT	?? ?? ?? ???? ??
